Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,7.9,8.0,8.4,8.3,8.3,8.5,8.1,7.6,8.0,8.5,8.5,9.0
2008,9.1,8.4,9.2,8.6,9.6,9.4,10.0,10.6,11.3,11.4,11.5,12.1
2009,12.7,13.7,13.7,15.0,15.0,14.8,14.8,14.8,15.3,15.8,15.7,16.1
2010,16.5,16.1,16.8,16.6,15.5,15.2,15.6,15.9,16.0,15.6,16.2,15.5
2011,15.8,15.5,15.8,16.5,16.3,16.2,15.9,16.4,15.9,14.6,15.6,15.4
2012,13.6,14.0,14.0,13.3,13.5,14.5,14.2,13.8,13.6,14.1,13.3,14.0
2013,13.7,13.8,13.0,13.3,13.4,14.2,12.6,12.8,13.0,12.8,12.3,11.9
2014,12.1,11.8,12.1,11.6,11.4,11.0,11.6,11.4,11.0,10.6,10.9,10.6
2015,10.3,10.1,9.9,9.7,10.3,9.7,9.1,9.4,9.3,9.0,9.4,8.5
2016,8.5,8.6,8.9,8.8,8.2,8.7,8.2,8.0,8.5,8.5,8.2,8.0
2017,7.5,8.0,7.8,7.7,7.7,6.9,7.3,7.7,7.2,7.6,7.5,6.7
2018,7.5,6.8,6.7,6.4,5.9,6.4,6.5,6.3,6.1,6.5,6.1,6.6
2019,7.0,7.2,6.7,6.7,6.1,5.8,5.7,5.3,5.3,5.5,5.5,6.0
2020,6.4,6.1,7.0,16.9,16.8,15.3,14.3,12.8,12.0,10.9,10.3,10.0
2021,9.4,9.9,9.7,10.2,9.0,9.1,8.1,8.6,7.7,7.6,6.4,7.0
2022,7.0,6.7,6.3,6.1,6.2,5.8,5.9,6.4,5.8,5.8,5.6,5.7
2023,5.4,5.8,5.0,4.8,5.7,6.0,5.7,5.3,5.7,5.9,5.8,5.2
2024,5.3,5.6,6.4,5.6,6.1,6.3,6.3,6.1,5.7,5.7,6.4,6.1
